"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-09-09 20:22:43", "1322808", "dfaa793468029d35d6156dcfbfacf0d0", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:39", "1322805", "0b90669de9a0e795e90eb5ae65c94e95", "md5_hash", "payload", "win.lokipws", "Burkina,Loki,LokiBot,LokiPWS", "Loki Password Stealer (PWS)", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:36", "1322802", "fb36d36dc1599c31de5f311727014cce", "md5_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:32", "1322799", "4b91b8ed6ff289482b77a741afe00341", "md5_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:29", "1322796", "ce8aba26ef708d9d556a7dc367c49989", "md5_hash", "payload", "win.stealc", "None", "Stealc", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:26", "1322793", "22c8c02cf2523c317e8caf6dd45ebec8", "md5_hash", "payload", "win.remoteadmin", "None", "RemoteAdmin", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:21", "1322790", "a628d1ea39c9f0189fe6b631a3256c0e", "md5_hash", "payload", "win.asyncrat", "None", "AsyncRAT", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:22:18", "1322787", "602b57e32258293aa6cf7211dc28bebc", "md5_hash", "payload", "win.rokrat", "DOGCALL", "RokRAT", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:04:02", "1322492", "36626d47f99914551e3d5a1691b48a50", "md5_hash", "payload", "win.blackremote", "BlackRAT", "BlackRemote", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:59", "1322489", "9508667733cdf7352c5d47242eae8256", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:55", "1322486", "74c29a84c085f95db4b2bf64d3f12aee", "md5_hash", "payload", "win.coinminer", "None", "Coinminer", "", "95", "None", "None", "0", "Grim"
"2024-09-08 20:03:52", "1322483", "d6b742f4adec335ecc5480f9e0c5f8b9", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
